100
97.2112,102.869
94.5002,100,105.82
91.8647,97.2112,102.869,108.856
89.3028,94.5002,100,105.82,111.979
86.8123,91.8647,97.2112,102.869,108.856,115.191
84.3913,89.3028,94.5002,100,105.82,111.979,118.496
82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895
79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392
77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989
75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69
73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496
71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412
69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44
67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584
65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847
63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231
61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742
60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382
58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155
56.7971,60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382,176.065
55.2131,58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155,181.116
53.6733,56.7971,60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382,176.065,186.312
52.1765,55.2131,58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155,181.116,191.657
50.7214,53.6733,56.7971,60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382,176.065,186.312,197.155
49.3069,52.1765,55.2131,58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155,181.116,191.657,202.811
47.9318,50.7214,53.6733,56.7971,60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382,176.065,186.312,197.155,208.63
46.5951,49.3069,52.1765,55.2131,58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155,181.116,191.657,202.811,214.615
45.2956,47.9318,50.7214,53.6733,56.7971,60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382,176.065,186.312,197.155,208.63,220.772
44.0324,46.5951,49.3069,52.1765,55.2131,58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155,181.116,191.657,202.811,214.615,227.105
42.8044,45.2956,47.9318,50.7214,53.6733,56.7971,60.1026,63.6005,67.302,71.2189,75.3638,79.7499,84.3913,89.3028,94.5002,100,105.82,111.979,118.496,125.392,132.69,140.412,148.584,157.231,166.382,176.065,186.312,197.155,208.63,220.772,233.621
41.6107,44.0324,46.5951,49.3069,52.1765,55.2131,58.4265,61.8268,65.4251,69.2328,73.2621,77.5259,82.0378,86.8123,91.8647,97.2112,102.869,108.856,115.191,121.895,128.989,136.496,144.44,152.847,161.742,171.155,181.116,191.657,202.811,214.615,227.105,240.323
