10.4107
8.58324,12.1826
6.96439,10.1516,14.153
5.55211,8.33161,11.9158,16.3249
4.34095,6.7238,9.8889,13.8818,18.6983
3.32192,5.32613,8.07655,11.6453,16.0526,21.2707
2.48256,4.13289,6.4802,9.62236,13.6069,18.4281,24.0369
1.80734,3.13458,5.09779,7.81784,11.3707,15.7769,21.0052,26.9896
1.2782,2.31803,3.92334,6.2334,9.35172,13.3281,18.1548,23.7782,30.1204
0.875412,1.66674,2.94678,4.86698,7.55523,11.0918,15.4974,20.7372,26.7394,33.4198
0.578549,1.16165,2.1541,3.71228,5.98322,9.0767,13.045,17.8783,23.5179,29.8794,36.8784
0.367464,0.781993,1.5278,2.75859,4.6336,7.28847,10.8084,15.2141,20.4668,26.4882,33.1881,40.4876
0.223253,0.506399,1.04766,1.99097,3.4997,5.72943,8.79697,12.7573,17.5986,23.2559,29.6381,36.6556,44.2396
0.129036,0.313991,0.691801,1.39078,2.57011,4.3975,7.01723,10.52,14.9267,20.1939,26.2362,32.9567,40.2726,48.1284
0.0704927,0.185398,0.437853,0.936549,1.82885,3.28559,5.47179,8.51216,12.4649,17.3154,22.9922,29.3966,36.4334,44.0311,52.1496
0.0361185,0.103576,0.264182,0.605162,1.25599,2.38148,4.15855,6.74117,10.2262,14.6349,19.9184,25.9833,32.7257,40.0583,47.925,56.3008
0.0171934,0.0543277,0.15098,0.373196,0.828671,1.66801,3.06996,5.21003,8.22187,12.1673,17.0287,22.727,29.1552,36.2119,43.8234,51.9499,60.5811
0.00751485,0.0265032,0.081102,0.218248,0.522433,1.1238,2.19287,3.9166,6.45989,9.9267,14.3385,19.6404,25.7299,32.4952,39.845,47.7223,56.1037,64.9911
0.0029708,0.0118847,0.0405659,0.120112,0.312733,0.724439,1.50876,2.85283,4.94383,7.92559,11.8641,16.7382,22.4603,28.9139,35.9913,43.6166,51.7508,60.3855,69.5326
0.00104134,0.00482586,0.0186734,0.0616278,0.1764,0.444011,0.994628,2.00448,3.67151,6.17294,9.62091,14.0372,19.3598,25.476,32.2655,39.6327,47.5203,55.9068,64.7964,74.2081
0.000314923,0.0017396,0.00779328,0.0291379,0.0928878,0.256786,0.624323,1.35149,2.63426,4.67283,7.62278,11.5548,16.4439,22.1923,28.6731,35.7719,43.4107,51.5521,60.19,69.3382,79.021
7.8953e-05,0.000541701,0.00289111,0.0125069,0.0451346,0.138838,0.370333,0.868977,1.81659,3.42309,5.87977,9.30826,13.7307,19.0766,25.222,32.0369,39.4216,47.3191,55.7102,64.6016,74.0139,83.9748
1.53985e-05,0.00014002,0.000927744,0.00477852,0.0199385,0.0693716,0.205688,0.52886,1.19666,2.41431,4.39664,7.31277,11.239,16.1456,21.9232,28.433,35.5538,43.2059,51.3539,59.9945,69.1436,78.8266,89.0734
2.07895e-06,2.81946e-05,0.000247471,0.00158155,0.00785194,0.0315618,0.105745,0.301879,0.74744,1.62954,3.17119,5.57977,8.98805,13.4185,18.791,24.9681,31.8097,39.2119,47.1186,55.5138,64.4066,73.8193,83.7803,94.3211
1.4589e-07,3.93573e-06,5.15002e-05,0.00043578,0.0026828,0.0128216,0.0495847,0.159779,0.438664,1.04484,2.19313,4.1148,6.99478,10.9161,15.8431,21.6531,28.1941,35.3372,43.0022,51.1562,59.799,68.9488,78.6319,88.8788,99.722
0,2.86001e-07,7.44144e-06,9.38282e-05,0.00076437,0.00452673,0.0207967,0.0772731,0.239168,0.630727,1.44379,2.91561,5.27219,8.65946,13.1003,18.503,24.7147,31.5841,39.0036,46.9189,55.3175,64.2114,73.6243,83.5854,94.1262,105.281
0,0,5.60673e-07,1.40507e-05,0.000170473,0.00133508,0.00759456,0.0334908,0.119387,0.354438,0.896766,1.97091,3.82675,6.66787,10.5852,15.5364,21.3826,27.9567,35.1226,42.7997,50.9588,59.6034,68.7536,78.4369,88.6837,99.5269,111.001
